REAL TANAM INTI,,,,,,,,,,,,,,,,
UPDATE NOVEMBER 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ESTATE,,,,TT,HA STATEMENT,,,,,,,,SERANGAN GANODERMA (PKK),,,
LAMA,BARU,BARU,BARU,,LUAS TANAM,,,TOTAL,,,TOTAL PKK,SPH,STADIUM 1&2,STADIUM 3&4,TOTAL,%SERANGAN
,,,,,SD THN 2024,PENAMBAHAN,SD 2025,TANAM,SISIP,SISIP KENTOSAN,,,,,,
,,,,,,,,,,,,,,,,
AME,AME,AME004,B016E,2021, 2.1 ,, 2.1 , 245 , 40 , -   , 285 , 136 , -   , -   , -   ,0.00%
AME,AME,AME004,B016F,2022, 1.9 ,, 1.9 , 230 , 19 , -   , 249 , 131 , -   , -   , -   ,0.00%
AME,AME,AME004,B016G,2023, 0.9 ,, 0.9 , 127 , -   , -   , 127 , 141 , -   , -   , -   ,0.00%
AME,AME,AME004,B016H,2025,, 1.3 , 1.3 , 177 , 8 , -   , 185 , 142 , -   , -   , -   ,0.00%
AME,AME,AME004,B017A,2013, 2.0 ,, 2.0 , 244 , -   , -   , 244 , 122 , -   , -   , -   ,0.00%
AME,AME,AME004,B017B,2018, 4.2 ,, 4.2 , 217 , 221 , -   , 438 , 104 , -   , -   , -   ,0.00%
AME,AME,AME004,B017C,2019, 0.5 ,, 0.5 , 59 , 16 , -   , 75 , 150 , -   , -   , -   ,0.00%
AME,AME,AME004,B017D,2021, 0.1 ,, 0.1 , 12 , 2 , -   , 14 , 140 , -   , -   , -   ,0.00%
AME,AME,AME004,B017E,2022, 2.9 ,, 2.9 , 345 , 46 , -   , 391 , 135 , -   , -   , -   ,0.00%
AME,AME,AME004,B017F,2023, 3.9 ,, 3.9 , 551 , -   , -   , 551 , 141 , -   , -   , -   ,0.00%
AME,AME,AME004,B017G,2025,, 3.5 , 3.5 , 515 , -   , -   , 515 , 147 , -   , -   , -   ,0.00%
AME,AME,AME004,B018A,2012, 35.8 ,, 35.8 , 770 ," 3,507 ", -   ," 4,277 ", 119 , 51 , 16 , 67 ,1.57%
AME,AME,AME004,B019A,2011, 30.1 ,, 30.1 ," 1,325 "," 2,172 ", -   ," 3,497 ", 116 , 220 , 45 , 265 ,7.58%
AME,AME,AME004,B020A,2011, 30.5 ,, 30.5 ," 2,107 "," 1,414 ", -   ," 3,521 ", 115 , 200 , 43 , 243 ,6.90%
AME,AME,AME004,B020B,2017, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,B021A,2013, 30.0 ,, 30.0 ," 2,900 ", 697 , -   ," 3,597 ", 120 , 174 , 33 , 207 ,5.75%
AME,AME,AME004,B021B,2017, 1.4 ,, 1.4 , 186 , 4 , -   , 190 , 136 , 13 , 4 , 17 ,8.95%
AME,AME,AME004,B022A,2013, 12.9 ,, 12.9 , 976 , 235 , -   ," 1,211 ", 94 , 117 , 21 , 138 ,11.40%
